gen_count, change_count, dist, prec, iterations, end_fitness
5, 2, 0.05, 999, 297, 999.0052905086924
5, 2, 0.05, 999, 312, 999.6576427553783
5, 2, 0.05, 999.9, 522, 999.9673057751406
5, 2, 0.05, 999.9, 469, 999.9452592977806
5, 2, 0.05, 999.9, 294, 999.9257890701015
5, 2, 0.05, 999.9, 278, 999.9050864900288
5, 2, 0.05, 999.9, 352, 999.9118421745001
5, 2, 0.05, 999.99, 2050, 999.9916539687333
5, 2, 0.05, 999.99, 863, 999.9904536280726
5, 2, 0.05, 999.99, 1680, 999.9906903159779
5, 2, 0.05, 999.99, 610, 999.9964569514785
5, 2, 0.05, 999.99, 803, 999.9944591580658
5, 2, 0.05, 999.999, 13240, 999.9992123908678
5, 2, 0.05, 999.999, 7658, 999.9995665782349
5, 2, 0.05, 999.999, 7210, 999.9990903997223
5, 2, 0.05, 999.999, 12423, 999.9991976850414
5, 2, 0.05, 999.999, 4458, 999.9992670306335
5, 2, 0.05, 999.9999, 88611, 999.9999455853939
5, 2, 0.05, 999.9999, 24359, 999.9999160346049
5, 2, 0.05, 999.9999, 60285, 999.9999083301394
5, 2, 0.05, 999.9999, 107536, 999.9999318110653
5, 2, 0.05, 999.9999, 156005, 999.9999331139081
5, 3, 0.05, 700, 89, 715.6499603673367
5, 3, 0.05, 700, 206, 701.6683111603234
5, 3, 0.05, 700, 106, 702.1341484942045
5, 3, 0.05, 700, 214, 713.4381313391158
5, 3, 0.05, 700, 141, 706.1291086570656
5, 3, 0.05, 800, 97, 810.8075458427177
5, 3, 0.05, 800, 152, 813.7733118721953
5, 3, 0.05, 800, 231, 801.7039872899479
5, 3, 0.05, 800, 75, 801.6111264851492
5, 3, 0.05, 800, 215, 804.6458068055382
5, 3, 0.05, 999, 255, 999.4711364567066
5, 3, 0.05, 999, 240, 999.2512483289671
5, 3, 0.05, 999, 137, 999.65549923109
5, 3, 0.05, 999, 263, 999.8324734979301
5, 3, 0.05, 999, 230, 999.0104053069912
5, 3, 0.05, 999.9, 714, 999.9687805449682
5, 3, 0.05, 999.9, 445, 999.9030666390777
5, 3, 0.05, 999.9, 644, 999.9496912168479
5, 3, 0.05, 999.9, 252, 999.9207936029148
5, 3, 0.05, 999.9, 616, 999.9008231756994
5, 3, 0.05, 999.99, 4858, 999.9910809459136
5, 3, 0.05, 999.99, 1574, 999.9908419606961
5, 3, 0.05, 999.99, 17372, 999.9976591819878
5, 3, 0.05, 999.99, 11018, 999.9937279090168
5, 3, 0.05, 999.99, 6351, 999.9947365397029
